gameID, patch, winningTeam, BlueChampion1, BlueChampion2, BlueChampion3, BlueChampion4, BlueChampion5, RedChampion1, RedChampion2, RedChampion3, RedChampion4, RedChampion5
EUW1_6811346681,14.3.558.8314,Red,Gangplank,Karthus,Tristana,Ezreal,Rakan,Sett,LeeSin,AurelionSol,Jhin,Bard
EUW1_6811356172,14.3.558.8314,Red,Blitzcrank,Vi,Shyvana,Nautilus,Ezreal,Ezreal,JarvanIV,Akali,Akshan,TwistedFate
EUW1_6806438426,14.3.558.8314,Red,Draven,Taric,Jinx,Udyr,Rakan,Nidalee,Ziggs,Tristana,Trundle,Heimerdinger
EUW1_6806427210,14.3.558.8314,Red,JarvanIV,Fizz,Malphite,Garen,Aatrox,Twitch,Ziggs,Tristana,Ezreal,Heimerdinger
EUW1_6806402125,14.3.558.8314,Red,Zilean,Taliyah,Riven,Leblanc,Vayne,Lillia,MissFortune,Yorick,Qiyana,Singed
EUW1_6806361914,14.3.558.8314,Red,Lucian,Smolder,TahmKench,Annie,Lissandra,Ekko,Alistar,Blitzcrank,Jhin,Sion
EUW1_6810706462,14.3.558.8314,Red,Riven,Rumble,Smolder,Lucian,Pyke,Kled,Shaco,Vex,Samira,Maokai
EUW1_6810558076,14.3.558.8314,Red,Aatrox,MasterYi,Vladimir,Jhin,Rakan,Kled,Briar,Gragas,Xayah,Thresh
EUW1_6810499532,14.3.558.8314,Red,Varus,Nocturne,Yone,Jhin,Karma,Kled,Shaco,Neeko,Caitlyn,Bard
EUW1_6810425837,14.3.558.8314,Red,Garen,Udyr,MonkeyKing,Smolder,Morgana,Kled,Ekko,Syndra,Jinx,Lulu
EUW1_6810379699,14.3.558.8314,Red,Fiora,Shaco,Syndra,Smolder,Zilean,Kled,Trundle,Azir,Aphelios,Janna
EUW1_6811487690,14.3.558.8314,Red,Poppy,Elise,Seraphine,Smolder,Leona,Kayle,Nocturne,Orianna,Senna,Blitzcrank
EUW1_6811202658,14.3.558.8314,Red,KSante,Rumble,Qiyana,Varus,Ashe,Yorick,XinZhao,TwistedFate,Jhin,Bard
EUW1_6810561463,14.3.558.8314,Red,Darius,Kindred,Annie,Jhin,Bard,Pantheon,Evelynn,Qiyana,Smolder,Pyke
EUW1_6810465810,14.3.558.8314,Red,Akshan,Evelynn,TwistedFate,Vayne,Ashe,Malphite,Karthus,Talon,Kalista,Senna
EUW1_6809866874,14.3.558.8314,Red,Karma,JarvanIV,Hwei,Jayce,Varus,Udyr,Elise,Akshan,Ashe,Zyra
EUW1_6807137140,14.3.558.8314,Red,Illaoi,Rengar,Cassiopeia,Ezreal,Pyke,Sett,Nocturne,Zilean,Twitch,Bard
EUW1_6807068373,14.3.558.8314,Red,Vayne,Shaco,Galio,MissFortune,Maokai,Renekton,Nidalee,Yone,Xayah,Senna
EUW1_6807026431,14.3.558.8314,Red,Illaoi,Shaco,Twitch,Kalista,Blitzcrank,Akali,Zac,Orianna,Draven,Rell
EUW1_6807009592,14.3.558.8314,Red,Qiyana,Akali,Ezreal,Sona,Blitzcrank,Ezreal,Caitlyn,Brand,Chogath,Amumu
EUW1_6806276356,14.3.558.8314,Red,Katarina,Lillia,Hecarim,Zed,Ashe,Garen,Taliyah,Neeko,Jhin,Rakan
